step,object,x,y,zoom,question,answer,layer1_button,layer1_content,layer2_button,layer2_content,page
#,object_id from the objects tab,horizontal position 0-1 (0.5 = center),vertical position 0-1 (0.5 = center),(1.0 = full image),Heading for this step,Brief 1-2 sentence text,"Optional button text (default: ""Learn more"")","Panel content: write text here, paste markdown, or enter path to .md file (e.g. your-story/file.md)","Optional second button text (default: ""Go deeper"")","Second panel: write text here, paste markdown, or enter path to .md file",
2,atlas-allegory,0.5,0.5,1,What is Telar?,A framework for visual storytelling. This example explores an allegorical map that reveals more than it first appears to show.,,,,,
3,atlas-allegory,0.5,0.5,1,What is this image?,"This 1761 engraving appears to celebrate the Spanish empire - but as we'll see, it actually challenges it. Scholar Natalie Cobo guides readers through telling details.",,,,,
4,atlas-allegory,0.477,0.125,8.9,Notice the head,Spain is depicted as the head of this imperial project.,About Coordinates,"This step zooms to **x=0.477, y=0.125, zoom=8.9**. The x and y values (0-1) position the view within the image. The zoom value magnifies the detail.,

Natalie Cobo uses this technique to guide readers' attention to specific details that build her argument. Each coordinate choice serves the narrative - here, extreme zoom emphasizes Spain's symbolic position as the ""head"" of empire.,

**In your Google Sheet:**,
- Change x/y to pan to different parts of the image,
- Increase zoom to see more detail,
- Each step can show a different view of the same image",,,
5,atlas-allegory,0.486,0.277,10,Consider the necklace,The chain is made of ships - it was overseas invasions that expanded the early modern Spanish world.,Guiding Attention,your-story/guiding-attention.md,,,
6,atlas-allegory,0.504,0.415,2.9,Look at the Americas,The American landmass forms an ill-defined cloak covering the allegorical woman.,Building an Argument,"Cobo's narrative arc reveals how this image prioritizes **connection over territory**. Notice how she's moved through the image:,

1. Head (Spain) at extreme zoom,
2. Necklace (trade/invasion) at extreme zoom,
3. Americas (obstacle) at moderate zoom,

The coordinate sequence creates the argument. The Americas appear ""ill-defined"" - nebulous, unclear. This prepares readers for the contrast with the Philippines in the next step.,

**In scholarly storytelling:**,
- Each step builds on previous steps,
- Coordinates serve your thesis,
- Zoom levels create emphasis and comparison",,,
7,atlas-allegory,0.478,0.883,10,The Philippines,"In stark contrast to the flowing American cloak, the Philippine Islands give concrete form to the woman's feet.",Visual Rhetoric,your-story/visual-rhetoric.md,,,
8,atlas-allegory,0.5,0.5,1,Trade routes,"This allegorical woman is not defined by landmasses but by shipping lanes. Connection, not territory, holds this body together.",The Reveal,your-story/the-reveal.md,Progressive Disclosure,your-story/progressive-disclosure.md,
9,atlas-allegory,0.516,0.974,10,The King,"Charles III introduced the centralizing Bourbon reforms, which sought to make the colonial realms subordinate political entities whose function was to provide the metropolis with wealth.",The Ruler's Place,"After exploring the allegorical woman's body - from head (Spain) through necklace (ships) to feet (Philippines) - where is the ruler?,

This step zooms to **x=0.516, y=0.974, zoom=10** - the very bottom of the image. Charles III, the king, is squeezed into a tiny medallion, barely visible.,

Natalie Cobo's argument becomes clear through this coordinate choice: the image depicts connection (shipping routes, trade networks) as more important than territory or sovereignty. The king is marginal to this vision of empire.,

**Before the Leviathan comparison:**,

This detail sets up the contrast with Hobbes's frontispiece in the next step. Notice how the coordinate (extreme zoom to the bottom) emphasizes what's NOT prominent in this image - the ruler himself.",,,
10,leviathan,0.486,0.177,3.6,Leviathan,"Hobbes's political thesis shows the opposite: the ruler as container of all society, with people who are indistinct and fungible.",Using Multiple Images,your-story/multiple-images.md,,,
,atlas-allegory,0.5,0.5,1,A challenge to the king,"Our allegorical woman has no form beyond connection, and the ruler is squeezed into the bottom. This image was produced in Manila by Filipino engraver Laureano Atlas, accompanying Vicente de Memije's thesis. In context, it stands as a polemical challenge to Charles III's reforms. This narrative demonstrates how visual storytelling can build scholarly arguments.",What's Next?,your-story/whats-next.md,,,
